url;title;category;stars;price;in_stock
http://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html;Slow States of Collapse: Poems;Poetry;3;£57.31;In stock (17 available)
http://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html;Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1);Sequential Art;5;£13.61;In stock (16 available)
http://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html;The Nameless City (The Nameless City #1);Sequential Art;4;£38.16;In stock (16 available)
http://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html;A Light in the Attic;Poetry;3;£51.77;In stock (22 available)
http://books.toscrape.com/catalogue/in-her-wake_980/index.html;In Her Wake;Thriller;1;£12.84;In stock (19 available)
http://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html;The Murder That Never Was (Forensic Instincts #5);Fiction;3;£54.11;In stock (16 available)
http://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html;Reasons to Stay Alive;Nonfiction;2;£26.41;In stock (17 available)
http://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html;Tipping the Velvet;Historical Fiction;1;£53.74;In stock (20 available)
http://books.toscrape.com/catalogue/how-music-works_979/index.html;How Music Works;Music;2;£37.32;In stock (19 available)
http://books.toscrape.com/catalogue/princess-between-worlds-wide-awake-princess-5_919/index.html;Princess Between Worlds (Wide-Awake Princess #5);Fantasy;5;£13.34;In stock (16 available)
http://books.toscrape.com/catalogue/private-paris-private-10_958/index.html;Private Paris (Private #10);Fiction;5;£47.61;In stock (17 available)
http://books.toscrape.com/catalogue/soumission_998/index.html;Soumission;Fiction;1;£50.10;In stock (20 available)
http://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html;The Most Perfect Thing: Inside (and Outside) a Bird's Egg;Science;4;£42.96;In stock (16 available)
