url;title;category;stars;price;in_stock;qty_in_stock
/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html;Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1);Sequential Art;5;13.61;True;16
/the-nameless-city-the-nameless-city-1_940/index.html;The Nameless City (The Nameless City #1);Sequential Art;4;38.16;True;16
/a-light-in-the-attic_1000/index.html;A Light in the Attic;Poetry;3;51.77;True;22
/in-her-wake_980/index.html;In Her Wake;Thriller;1;12.84;True;19
/slow-states-of-collapse-poems_960/index.html;Slow States of Collapse: Poems;Poetry;3;57.31;True;17
/princess-between-worlds-wide-awake-princess-5_919/index.html;Princess Between Worlds (Wide-Awake Princess #5);Fantasy;5;13.34;True;16
/reasons-to-stay-alive_959/index.html;Reasons to Stay Alive;Nonfiction;2;26.41;True;17
/tipping-the-velvet_999/index.html;Tipping the Velvet;Historical Fiction;1;53.74;True;20
/the-murder-that-never-was-forensic-instincts-5_939/index.html;The Murder That Never Was (Forensic Instincts #5);Fiction;3;54.11;True;16
/how-music-works_979/index.html;How Music Works;Music;2;37.32;True;19
/pop-gun-war-volume-1-gift_918/index.html;Pop Gun War, Volume 1: Gift;Sequential Art;1;18.97;True;16
/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html;The Most Perfect Thing: Inside (and Outside) a Bird's Egg;Science;4;42.96;True;16
/soumission_998/index.html;Soumission;Fiction;1;50.10;True;20
/private-paris-private-10_958/index.html;Private Paris (Private #10);Fiction;5;47.61;True;17
/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html;Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More;Food and Drink;3;30.52;True;19
